dataset,year,province_code,province,gender_ideation_mean,gender_ideation_sd,n_respondents
ACWF,1990,11,Beijing,0.3976,0.1605,1992
ACWF,1990,13,Hebei,0.4166,0.1662,1992
ACWF,1990,22,Jilin,0.4129,0.1710,1899
ACWF,1990,32,Jiangsu,0.4540,0.1600,3991
ACWF,1990,34,Anhui,0.4352,0.1702,1994
ACWF,1990,36,Jiangxi,0.4478,0.1638,2051
ACWF,1990,42,Hubei,0.4424,0.1628,1885
ACWF,1990,44,Guangdong,0.4710,0.1545,2164
ACWF,1990,52,Guizhou,0.4363,0.1690,1823
ACWF,1990,62,Gansu,0.4744,0.1600,1934
ACWF,1990,63,Qinghai,0.4791,0.1647,1997
ACWF,2000,11,Beijing,0.3426,0.1724,329
ACWF,2000,12,Tianjin,0.3394,0.1772,192
ACWF,2000,13,Hebei,0.3389,0.1740,1194
ACWF,2000,14,Shanxi,0.3758,0.1918,711
ACWF,2000,15,Inner Mongolia,0.2969,0.1650,522
ACWF,2000,21,Liaoning,0.3098,0.1815,863
ACWF,2000,22,Jilin,0.3464,0.1888,863
ACWF,2000,23,Heilongjiang,0.3235,0.1676,432
ACWF,2000,31,Shanghai,0.3833,0.1515,357
ACWF,2000,32,Jiangsu,0.3685,0.1644,1002
ACWF,2000,33,Zhejiang,0.3777,0.1463,811
ACWF,2000,34,Anhui,0.3765,0.1790,1039
ACWF,2000,35,Fujian,0.4091,0.1815,519
ACWF,2000,36,Jiangxi,0.4228,0.1568,523
ACWF,2000,37,Shandong,0.3267,0.1710,1242
ACWF,2000,41,Henan,0.3651,0.1628,1079
ACWF,2000,42,Hubei,0.3790,0.1797,798
ACWF,2000,43,Hunan,0.3794,0.1742,670
ACWF,2000,44,Guangdong,0.3960,0.1782,1288
ACWF,2000,45,Guangxi,0.3305,0.1810,618
ACWF,2000,46,Hainan,0.4412,0.1450,142
ACWF,2000,50,Chongqing,0.3532,0.1630,334
ACWF,2000,51,Sichuan,0.3437,0.1611,997
ACWF,2000,52,Guizhou,0.3340,0.1744,478
ACWF,2000,53,Yunnan,0.3228,0.1707,709
ACWF,2000,54,Tibet,0.4920,0.1476,140
ACWF,2000,61,Shaanxi,0.3378,0.1724,573
ACWF,2000,62,Gansu,0.4205,0.1752,379
ACWF,2000,63,Qinghai,0.3939,0.1362,96
ACWF,2000,65,Xinjiang,0.3347,0.1912,383
ACWF,2010,11,Beijing,0.4297,0.1127,968
ACWF,2010,12,Tianjin,0.4437,0.1281,744
ACWF,2010,13,Hebei,0.4443,0.1280,1203
ACWF,2010,14,Shanxi,0.4644,0.1354,844
ACWF,2010,15,Inner Mongolia,0.4342,0.1327,659
ACWF,2010,21,Liaoning,0.4416,0.1201,1101
ACWF,2010,22,Jilin,0.4322,0.1226,717
ACWF,2010,23,Heilongjiang,0.4414,0.1295,1064
ACWF,2010,31,Shanghai,0.4128,0.1181,875
ACWF,2010,32,Jiangsu,0.4418,0.1257,1244
ACWF,2010,33,Zhejiang,0.4563,0.1209,1016
ACWF,2010,34,Anhui,0.4675,0.1328,1036
ACWF,2010,35,Fujian,0.4607,0.1336,599
ACWF,2010,36,Jiangxi,0.4995,0.1191,802
ACWF,2010,37,Shandong,0.4416,0.1293,1585
ACWF,2010,41,Henan,0.4447,0.1360,1321
ACWF,2010,42,Hubei,0.4435,0.1209,1066
ACWF,2010,43,Hunan,0.4793,0.1277,1371
ACWF,2010,44,Guangdong,0.4863,0.1283,1258
ACWF,2010,45,Guangxi,0.4441,0.1201,775
ACWF,2010,46,Hainan,0.4742,0.1334,205
ACWF,2010,50,Chongqing,0.4427,0.1345,315
ACWF,2010,51,Sichuan,0.4451,0.1280,1219
ACWF,2010,52,Guizhou,0.4367,0.1213,789
ACWF,2010,53,Yunnan,0.4203,0.1273,1039
ACWF,2010,54,Tibet,0.4487,0.1452,142
ACWF,2010,61,Shaanxi,0.4526,0.1281,663
ACWF,2010,62,Gansu,0.4597,0.1311,523
ACWF,2010,63,Qinghai,0.4657,0.1125,131
ACWF,2010,64,Ningxia,0.4439,0.1346,139
ACWF,2010,65,Xinjiang,0.4450,0.1488,608
CFPS,2014,11,Beijing,0.5396,0.1989,257
CFPS,2014,12,Tianjin,0.6425,0.1712,216
CFPS,2014,13,Hebei,0.5919,0.1851,1827
CFPS,2014,14,Shanxi,0.6109,0.1677,1485
CFPS,2014,15,Inner Mongolia,0.4722,0.1293,9
CFPS,2014,21,Liaoning,0.6026,0.1832,2971
CFPS,2014,22,Jilin,0.6266,0.1721,543
CFPS,2014,23,Heilongjiang,0.5943,0.1931,1002
CFPS,2014,31,Shanghai,0.5670,0.1767,2121
CFPS,2014,32,Jiangsu,0.5943,0.1781,678
CFPS,2014,33,Zhejiang,0.5760,0.1726,624
CFPS,2014,34,Anhui,0.5910,0.1717,668
CFPS,2014,35,Fujian,0.6261,0.1521,371
CFPS,2014,36,Jiangxi,0.6464,0.1550,563
CFPS,2014,37,Shandong,0.5914,0.1818,1506
CFPS,2014,41,Henan,0.6137,0.1642,3986
CFPS,2014,42,Hubei,0.5674,0.1728,469
CFPS,2014,43,Hunan,0.6154,0.1637,849
CFPS,2014,44,Guangdong,0.6287,0.1664,2843
